TABLE NO.     1: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       THETA5       THETA6       SIGMA(1,1)   SIGMA(2,1)   SIGMA(2,2)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
        -5000 -5.74219E-01  5.67154E+00  1.03569E+00  2.41770E-01 -1.13632E+01  5.11273E+00  4.00000E-02  0.00000E+00  4.00000E-02  9.00000E-02  0.00000E+00  9.00000E-02  0.00000E+00  1.00000E-02  9.00000E-02  0.00000E+00  1.00000E-02  1.00000E-02  9.00000E-02    112801321.20184627
        -4999 -5.74219E-01  5.67154E+00  1.03569E+00  3.08137E-01 -1.13632E+01  4.79785E+00  3.69802E+01  0.00000E+00  3.79065E+01  7.49641E-02  0.00000E+00  1.16934E-01  0.00000E+00  1.21870E-02  1.69281E-01  0.00000E+00  2.46519E-02  7.12447E-03  2.08021E-01    68920.241266716926
        -4998 -5.74219E-01  5.67154E+00  1.03569E+00  4.21112E-01 -1.13632E+01  4.79785E+00  8.39833E+02  0.00000E+00  4.40480E+03  7.95145E-02  0.00000E+00  1.62971E-01  0.00000E+00  2.39275E-02  1.83946E-01  0.00000E+00  6.51425E-02  1.05936E-02  3.03270E-01    4884.6018229985657
        -4997 -5.74219E-01  5.67154E+00  1.03569E+00  5.38955E-01 -1.13632E+01  4.79785E+00  6.41796E+02  0.00000E+00  6.09069E+03  8.04282E-02  0.00000E+00  1.54869E-01  0.00000E+00 -1.13483E-02  1.85044E-01  0.00000E+00  7.00178E-02  1.72942E-02  3.04373E-01    4954.8112313115817
        -4996 -5.74219E-01  5.67154E+00  1.03569E+00  5.38955E-01 -1.13632E+01  4.79785E+00  1.05656E+03  0.00000E+00  6.60761E+03  6.99323E-02  0.00000E+00  1.48321E-01  0.00000E+00 -3.42612E-03  2.08324E-01  0.00000E+00  5.89085E-02  5.14661E-02  2.95767E-01    4932.8299680474529
        -4995 -5.74219E-01  5.67154E+00  1.03569E+00  5.38955E-01 -1.13632E+01  4.80835E+00  7.49243E+02  0.00000E+00  5.82679E+03  7.36426E-02  0.00000E+00  1.41022E-01  0.00000E+00  1.53706E-02  2.19128E-01  0.00000E+00  4.60660E-02  8.09583E-02  3.22790E-01    5022.0599419023929
        -4994 -5.47242E-01  5.67154E+00  1.03569E+00  5.38955E-01 -1.13632E+01  3.98421E+00  1.41789E+03  0.00000E+00  5.56987E+03  9.20681E-02  0.00000E+00  1.55523E-01  0.00000E+00  1.94162E-02  2.83621E-01  0.00000E+00  6.92013E-02  9.94503E-02  3.92744E-01    5087.2487676800865
        -4993 -5.47242E-01  5.67154E+00  1.03569E+00  5.44964E-01 -1.13632E+01  3.98421E+00  1.39344E+03  0.00000E+00  5.36256E+03  8.45563E-02  0.00000E+00  1.59554E-01  0.00000E+00  1.54905E-02  2.38031E-01  0.00000E+00  8.91918E-02  1.12839E-01  4.52776E-01    5040.9348602323471
        -4992 -5.47242E-01  5.67154E+00  1.03569E+00  6.04698E-01 -1.13632E+01  3.98421E+00  2.01367E+03  0.00000E+00  5.53427E+03  8.18120E-02  0.00000E+00  2.00040E-01  0.00000E+00  5.70855E-02  2.55989E-01  0.00000E+00  1.56153E-01  1.29177E-01  5.34691E-01    5133.9053601609394
        -4991 -5.47242E-01  5.67154E+00  1.03569E+00  5.54643E-01 -1.13632E+01  3.68830E+00  1.35679E+03  0.00000E+00  5.47601E+03  9.56739E-02  0.00000E+00  1.85067E-01  0.00000E+00  2.10820E-02  2.36982E-01  0.00000E+00  1.26827E-01  1.39675E-01  6.50114E-01    5142.2574943820155
        -4990 -5.47242E-01  5.67154E+00  1.03569E+00  6.64881E-01 -1.13632E+01  3.75581E+00  7.58368E+02  0.00000E+00  5.53698E+03  8.70613E-02  0.00000E+00  2.00647E-01  0.00000E+00  5.63663E-02  2.72744E-01  0.00000E+00  1.77408E-01  2.51181E-01  8.97509E-01    5073.9439910982464
        -4989 -5.47242E-01  5.67154E+00  1.03569E+00  6.64881E-01 -1.13632E+01  3.75581E+00  8.20279E+02  0.00000E+00  4.74356E+03  8.79298E-02  0.00000E+00  1.78702E-01  0.00000E+00  1.98997E-02  2.02796E-01  0.00000E+00  1.68923E-01  2.31970E-01  8.71933E-01    4886.8448011396667
        -4988 -5.47242E-01  5.67154E+00  1.03569E+00  4.84021E-01 -1.13632E+01  3.75581E+00  8.83158E+02  0.00000E+00  4.31759E+03  7.52769E-02  0.00000E+00  1.52088E-01  0.00000E+00  3.06841E-02  1.89026E-01  0.00000E+00  1.30133E-01  2.08116E-01  7.95283E-01    4858.7455378797931
        -4987 -5.47242E-01  5.67154E+00  1.03569E+00  4.84021E-01 -1.13632E+01  3.75581E+00  9.17363E+02  0.00000E+00  4.41014E+03  7.21047E-02  0.00000E+00  1.48931E-01  0.00000E+00  3.38564E-02  1.93919E-01  0.00000E+00  1.62566E-01  2.12746E-01  9.41478E-01    4868.6678643444338
        -4986 -5.46816E-01  5.67154E+00  1.03569E+00  5.15365E-01 -1.13632E+01  3.70541E+00  1.38682E+03  0.00000E+00  4.08720E+03  6.66896E-02  0.00000E+00  1.41661E-01  0.00000E+00  4.53417E-03  1.84692E-01  0.00000E+00  1.31794E-01  2.13915E-01  1.10493E+00    4873.1838770725326
